ID,cut,color,clarity,depth,table,price,x,y,z
15341,Premium,J,VS1,62.0,59.0,8110,7.34,7.36,4.56
15342,Ideal,G,VVS1,62.3,57.0,1123,4.74,4.79,2.97
15343,,G,SI1,63.0,57.0,2150,5.65,5.58,3.54
15344,Ideal,I,VS1,61.7,53.0,7111,6.9,6.91,4.26
15345,Ideal,G,VVS2,61.2,57.0,2869,5.84,5.83,3.57
15346,Premium,F,VS1,58.9,60.0,2838,5.9,5.88,3.47
15347,Ideal,I,SI1,62.5,54.0,2287,5.64,5.72,3.55
15348,Very Good,E,VS2,63.5,57.0,1638,5.08,5.06,3.22
15349,Ideal,E,SI1,60.9,56.0,1580,5.32,5.35,3.25
15350,Very Good,H,VS2,62.8,55.0,7427,6.75,6.82,4.26
15351,Very Good,E,VS1,60.4,62.0,378,3.92,3.99,2.39
15352,Ideal,H,I1,62.4,56.0,6477,7.38,7.33,4.59
15353,Premium,D,SI2,62.5,58.0,3676,6.52,6.38,4.03
15354,Very Good,H,VS2,60.8,61.0,11025,7.33,7.41,4.48
15355,Ideal,D,VS2,61.7,56.0,2364,5.45,5.48,3.37
15356,Ideal,I,VS1,62.1,57.0,5302,6.55,6.5,4.05
15357,Very Good,G,VS2,58.9,60.0,12756,7.47,7.55,4.42
15358,Ideal,E,SI2,62.1,56.0,2453,5.65,5.68,3.52
15359,Premium,H,VS2,62.6,59.0,6755,6.83,6.93,4.31
15360,Very Good,G,VS2,,61.0,2634,5.54,,3.46
15361,Good,E,SI1,63.8,58.0,904,4.71,4.73,3.01
15362,Ideal,G,IF,61.6,54.0,1558,4.98,4.99,3.07
15363,,G,VS1,62.4,58.0,12151,7.18,7.25,4.5
15364,Ideal,D,VS1,62.2,56.0,2851,5.53,5.57,3.45
15365,,F,IF,62.1,54.0,914,4.33,4.37,2.7
15366,Ideal,G,VS2,61.5,58.0,9283,6.89,6.94,4.25
15367,Very Good,G,VS2,61.5,57.0,800,4.75,4.81,2.94
15368,Ideal,I,VVS1,62.5,57.0,945,4.8,4.77,2.99
15369,Ideal,D,VVS2,61.1,57.0,10860,6.48,6.49,3.96
15370,Good,F,SI2,64.1,57.0,16230,7.83,7.78,5.0
15371,Very Good,H,SI1,,59.0,461,4.33,,2.74
15372,Very Good,H,VVS2,60.7,56.0,486,4.12,4.15,2.51
15373,Very Good,D,SI1,62.3,61.0,4694,6.14,6.19,3.84
15374,Premium,E,SI1,59.8,61.0,2890,5.99,5.95,3.57
15375,Good,F,VS2,62.9,61.0,2591,5.6,5.62,3.53
15376,Good,H,SI1,,56.0,4938,6.47,,4.1
15377,Very Good,H,SI2,63.4,57.0,4615,6.58,6.63,4.19
15378,Premium,H,VS2,60.7,58.0,11567,7.51,7.47,4.55
15379,Ideal,F,IF,60.7,56.0,902,4.42,4.45,2.69
15380,Very Good,D,VS2,62.2,56.0,3668,5.84,5.92,3.66
15381,Good,H,SI2,63.1,61.0,4865,6.31,6.28,3.97
15382,Ideal,D,VVS1,62.4,55.0,3850,5.39,5.38,3.36
15383,Ideal,H,VS1,62.5,54.0,12071,7.28,7.35,4.57
15384,Very Good,E,VS2,63.7,54.0,2681,5.65,5.66,3.6
15385,Good,G,VS2,63.9,55.0,675,4.28,4.27,2.73
15386,Premium,G,VS2,,59.0,1114,4.82,,3.02
15387,Fair,G,VS1,,56.0,1257,5.02,,3.35
15388,,F,VVS2,61.0,56.0,2259,5.26,5.24,3.2
15389,Good,D,VVS2,62.2,64.0,3017,5.03,5.07,3.14
15390,Ideal,F,SI1,61.6,55.0,747,4.65,4.67,2.87
15391,,D,SI2,61.2,63.0,8869,7.31,7.39,4.5
15392,Ideal,F,SI2,,57.0,4679,6.58,,4.05
15393,Very Good,I,IF,62.9,58.0,10148,7.21,7.32,4.57
15394,Premium,E,VS2,58.2,62.0,1728,5.32,5.26,3.08
15395,,I,SI2,62.6,58.0,8896,7.58,7.56,4.74
15396,Very Good,H,SI1,63.5,57.0,2207,5.67,5.63,3.59
15397,Ideal,G,VS2,62.5,56.0,16783,7.72,7.66,4.81
15398,Good,I,SI1,60.5,57.0,3878,6.39,6.46,3.89
15399,Good,F,VS2,57.4,62.0,5487,6.62,6.58,3.79
15400,Premium,I,SI1,61.3,58.0,524,4.37,4.34,2.67
15401,Ideal,F,VS2,62.3,55.0,706,4.53,4.55,2.83
15402,Good,E,SI2,,61.0,3660,6.17,,3.7
15403,Premium,F,SI1,60.1,60.0,11299,7.56,7.51,4.53
15404,Ideal,I,VVS1,61.9,56.0,2048,5.4,5.46,3.36
15405,Ideal,H,SI1,61.4,55.0,5194,6.6,6.59,4.05
15406,Ideal,E,VS2,61.2,56.0,2078,5.45,5.44,3.33
15407,Premium,F,VS2,61.5,59.0,1107,4.79,4.74,2.93
15408,Premium,D,VVS1,,59.0,4234,5.88,,3.47
15409,Premium,E,VS1,61.3,59.0,710,4.29,4.33,2.64
15410,Ideal,D,VS2,62.5,57.0,1050,4.73,4.71,2.95
15411,Good,D,SI2,60.2,64.0,3473,6.15,6.1,3.69
15412,Fair,D,SI2,65.2,58.0,1156,5.24,5.22,3.41
15413,Good,E,SI2,57.9,63.0,2371,6.02,6.06,3.5
15414,Ideal,G,SI1,62.2,55.0,693,4.7,4.76,2.94
15415,,G,VS1,59.0,62.0,1640,5.31,5.27,3.12
15416,Very Good,I,SI1,62.5,58.0,1048,5.0,5.05,3.14
15417,Good,F,VS1,63.8,56.0,2402,5.62,5.66,3.6
15418,Ideal,H,SI1,62.4,57.0,1270,5.23,5.28,3.28
15419,Very Good,E,SI1,62.7,59.0,5416,6.41,6.47,4.04
15420,Premium,H,SI2,61.2,59.0,3919,6.42,6.39,3.92
15421,Premium,J,VS2,62.8,57.0,4760,6.78,6.69,4.23
15422,Premium,H,VS2,61.1,60.0,4916,6.8,6.75,4.14
15423,Very Good,D,SI2,58.5,60.0,1074,5.19,5.21,3.04
15424,Ideal,H,SI1,62.4,54.0,6867,6.87,6.89,4.29
15425,Ideal,F,IF,,57.0,872,4.34,,2.65
15426,Very Good,G,VVS1,60.3,60.0,1152,4.74,4.78,2.87
15427,Very Good,G,SI1,59.2,61.0,4724,6.63,6.69,3.94
15428,Premium,H,SI2,62.8,56.0,4913,6.73,6.68,4.21
15429,Very Good,G,VS1,63.3,58.0,775,4.27,4.23,2.69
15430,Ideal,J,VS2,61.8,55.0,446,4.54,4.56,2.81
15431,Ideal,H,SI1,,55.0,1222,5.14,,3.18
15432,Ideal,G,VS2,62.4,54.0,562,4.33,4.35,2.71
15433,Very Good,G,VVS2,62.3,55.0,1056,4.79,4.84,3.0
15434,Ideal,F,VS1,62.5,55.0,1007,4.76,4.77,2.98
15435,Very Good,J,VS1,61.5,57.0,8057,7.29,7.38,4.51
15436,Premium,I,SI1,62.3,58.0,8717,7.59,7.52,4.71
15437,Premium,F,SI2,61.4,61.0,4452,6.38,6.36,3.91
15438,Ideal,G,IF,61.9,56.0,1434,4.85,4.88,3.01
15439,Ideal,D,SI1,62.7,55.0,756,4.39,4.35,2.74
15440,Ideal,F,IF,61.8,56.0,1046,4.36,4.34,2.69
15441,Very Good,G,VS1,63.3,58.0,6618,6.37,6.34,4.02
15442,Ideal,J,SI1,61.8,54.0,1864,5.76,5.8,3.57
15443,Premium,D,SI1,62.6,56.0,5757,6.62,6.57,4.13
15444,Good,J,SI1,63.8,58.0,2311,5.96,5.95,3.8
15445,Premium,E,SI1,59.7,60.0,2359,5.91,5.84,3.51
15446,Ideal,F,VVS2,61.9,57.0,8870,6.49,6.53,4.03
15447,,G,SI1,64.9,58.0,1916,5.59,5.53,3.61
15448,,H,SI1,65.6,61.0,5178,6.44,6.39,4.21
15449,Ideal,D,SI1,61.0,57.0,851,4.65,4.59,2.82
15450,Ideal,F,SI1,61.4,55.0,1334,5.32,5.33,3.27
15451,Premium,D,VVS1,61.2,59.0,1075,4.38,4.34,2.67
15452,Ideal,F,VS1,62.4,57.0,15379,7.34,7.3,4.57
15453,Good,H,SI2,63.8,57.0,3639,6.32,6.29,4.02
15454,Very Good,E,SI1,61.8,58.0,3244,5.94,5.97,3.68
15455,,D,VS2,62.1,60.0,1796,5.21,5.25,3.25
15456,,E,VS2,62.9,57.0,1653,5.15,5.19,3.25
15457,Premium,D,VS2,62.4,58.0,7642,6.4,6.39,3.99
15458,Very Good,D,SI1,62.9,57.0,1885,5.39,5.46,3.41
15459,Ideal,G,VS1,61.3,55.0,962,4.81,4.78,2.94
15460,Good,D,SI2,64.1,56.0,4234,6.23,6.29,4.01
15461,Ideal,G,VS2,61.4,57.0,698,4.45,4.35,2.7
15462,Premium,I,VS1,61.3,59.0,668,4.45,4.43,2.72
15463,Very Good,I,SI1,62.6,56.0,1918,5.66,5.69,3.55
15464,,J,VS2,62.4,57.0,4590,6.73,6.79,4.22
15465,Premium,G,VS2,59.2,60.0,698,4.46,4.43,2.63
15466,Very Good,H,VS2,62.2,57.0,774,4.77,4.78,2.97
15467,Ideal,H,VS1,62.1,57.0,596,4.47,4.51,2.79
15468,Very Good,E,VS2,,59.0,1601,5.24,,3.11
15469,Good,G,SI2,59.3,62.0,4397,6.5,6.58,3.88
15470,Very Good,F,VVS1,62.5,60.0,898,4.28,4.3,2.68
15471,Good,F,SI2,63.9,57.0,3977,6.34,6.31,4.04
15472,Ideal,F,SI1,61.4,57.0,4862,6.56,6.5,4.01
15473,Ideal,D,VS2,58.4,57.0,8113,6.97,6.93,4.06
15474,Premium,G,VS2,,59.0,6588,6.56,,3.95
15475,Premium,G,VS2,59.7,60.0,6021,6.77,6.6,3.99
15476,Ideal,H,VS2,61.8,56.0,1359,5.24,5.27,3.25
15477,Ideal,I,VS1,62.0,56.0,555,4.51,4.52,2.8
15478,,I,VS1,62.3,55.0,12030,7.75,7.54,4.76
15479,Very Good,E,SI1,63.6,55.0,7277,6.29,6.42,4.04
15480,Very Good,H,SI1,63.0,60.0,4559,6.34,6.36,4.0
15481,Good,E,VS1,58.6,60.0,3148,5.81,5.82,3.41
15482,Very Good,F,SI2,59.3,63.0,5033,6.78,6.85,4.04
15483,Good,J,VS2,63.5,61.0,3001,6.17,6.08,3.89
15484,Very Good,E,SI2,62.0,60.0,2257,5.65,5.73,3.53
15485,Very Good,H,VS1,62.3,59.0,4309,6.06,6.13,3.8
15486,Ideal,F,VVS2,,57.0,1162,4.73,,2.95
15487,Ideal,F,SI1,61.5,55.0,3250,5.81,5.83,3.58
15488,Ideal,F,VS2,62.5,55.0,7826,6.8,6.76,4.24
15489,Ideal,E,VVS2,61.2,56.0,815,4.43,4.49,2.73
15490,Fair,H,I1,61.2,61.0,1323,6.2,5.99,3.73
15491,Premium,D,SI2,59.7,60.0,5197,6.59,6.55,3.92
15492,Premium,H,VS2,,58.0,10425,7.41,,4.62
15493,Good,F,VS2,61.1,57.0,441,3.97,4.02,2.44
15494,Ideal,G,VS2,,57.0,573,4.35,,2.68
15495,Premium,D,VS2,62.4,59.0,910,4.29,4.24,2.66
15496,Very Good,E,VS1,60.9,58.0,8788,6.69,6.72,4.08
15497,Ideal,E,SI1,62.4,57.0,907,4.75,4.7,2.95
15498,Very Good,F,VVS1,62.2,60.0,1187,4.83,4.92,3.03
15499,Premium,H,VS2,60.8,59.0,2416,5.67,5.65,3.44
15500,Very Good,E,SI2,61.8,60.0,4251,6.68,6.78,4.16
15501,Ideal,G,VS2,62.1,56.0,7473,6.61,6.66,4.12
15502,Ideal,F,VS1,61.0,56.0,3701,5.78,5.79,3.53
15503,Ideal,F,SI2,60.7,57.0,4569,6.58,6.6,4.0
15504,Very Good,H,VS1,62.8,58.0,543,4.31,4.35,2.72
15505,Ideal,I,VVS1,60.1,57.0,6945,6.63,6.68,4.0
15506,Premium,H,VS2,59.8,59.0,7561,6.95,6.93,4.15
15507,Ideal,I,VS1,62.1,55.0,6272,6.81,6.78,4.22
15508,Ideal,F,SI2,61.8,55.0,2297,5.79,5.74,3.56
15509,Very Good,F,VS1,,57.0,982,4.69,,2.94
15510,Very Good,E,SI1,61.2,61.0,1304,5.14,5.16,3.15
15511,Ideal,E,VS1,62.5,54.0,1060,4.48,4.45,2.79
15512,Premium,I,SI1,62.8,60.0,5208,6.82,6.74,4.26
15513,Ideal,F,SI1,62.3,55.0,4277,6.39,6.3,3.95
15514,Fair,J,VS1,64.6,58.0,14750,7.91,8.03,5.15
15515,Ideal,F,VVS1,62.1,57.0,12956,6.61,6.7,4.13
15516,Premium,D,SI2,60.8,59.0,5286,6.47,6.42,3.92
15517,Very Good,G,SI1,59.0,57.0,4429,6.64,6.74,3.95
15518,Ideal,H,VVS2,61.6,58.0,2211,5.55,5.61,3.44
15519,Good,D,IF,57.8,56.0,1252,4.56,4.64,2.66
15520,Very Good,E,IF,61.7,60.0,10028,6.39,6.51,3.98
15521,Fair,J,SI1,65.0,58.0,4838,6.7,6.59,4.32
15522,Premium,H,VS1,61.9,60.0,6607,6.88,6.79,4.23
15523,,G,VVS1,63.8,57.0,678,4.26,4.27,2.72
15524,Premium,G,VS1,59.4,58.0,15188,7.74,7.68,4.58
15525,,F,VVS1,60.8,57.0,2188,5.21,5.25,3.18
15526,,D,SI1,63.1,60.0,5443,6.31,6.4,4.01
15527,Ideal,F,VS2,60.9,58.0,7411,6.43,6.48,3.93
15528,Fair,H,SI2,64.5,60.0,3536,6.06,6.01,3.89
15529,Premium,H,SI2,61.3,60.0,14299,8.36,8.31,5.11
15530,Ideal,F,SI2,62.2,57.0,1332,5.34,5.31,3.31
15531,Very Good,E,VVS1,62.8,54.0,10463,6.35,6.39,4.0
15532,Ideal,G,VVS1,60.9,56.0,16340,7.56,7.54,4.6
15533,Ideal,F,SI1,61.5,55.0,12671,7.53,7.58,4.65
15534,Ideal,H,VS2,,56.0,11419,7.39,,4.68
15535,Ideal,D,SI1,62.8,54.0,731,4.36,4.33,2.73
15536,Ideal,F,VS1,62.2,55.0,1131,4.66,4.63,2.89
15537,Very Good,F,SI1,61.6,59.0,2745,5.89,5.96,3.65
15538,Ideal,D,SI1,60.6,56.0,596,4.54,4.57,2.76
15539,,G,IF,61.7,56.0,1040,4.58,4.53,2.81
15540,Very Good,E,VS2,,63.0,2145,5.41,,3.23
15541,,G,SI1,61.6,56.0,5241,6.51,6.47,4.0
15542,Premium,F,SI1,61.7,59.0,1015,4.86,4.83,2.99
15543,,H,VVS1,61.7,55.0,1754,5.18,5.2,3.2
15544,Very Good,F,SI1,63.4,60.0,10685,7.19,7.28,4.59
15545,,E,VS1,60.3,59.0,603,4.23,4.19,2.54
15546,,I,SI1,62.2,60.0,17192,8.43,8.39,5.23
15547,Ideal,G,VVS2,61.7,57.0,3726,5.73,5.71,3.53
15548,Ideal,D,VS1,61.4,56.0,2250,5.28,5.31,3.25
15549,Very Good,G,VS1,60.8,61.0,625,4.33,4.36,2.64
15550,Very Good,F,VS1,59.9,60.0,641,4.38,4.3,2.6
15551,Premium,E,SI1,61.2,59.0,1624,5.16,5.13,3.15
15552,Ideal,J,SI1,,60.0,12713,8.21,,4.9
15553,Good,D,SI2,63.9,58.0,3740,6.11,6.09,3.9
15554,Ideal,G,VVS2,61.5,55.0,684,4.3,4.32,2.65
15555,Ideal,G,VS1,60.9,57.0,8544,7.02,6.96,4.26
15556,Ideal,E,VS1,62.2,56.0,1152,4.77,4.75,2.96
15557,Ideal,F,VVS2,62.0,55.0,684,4.31,4.34,2.68
15558,Good,G,SI2,62.7,61.0,4211,6.32,6.37,3.98
15559,Premium,G,SI1,58.6,62.0,1092,5.28,5.24,3.08
15560,Premium,E,VS1,59.9,61.0,10388,7.0,6.96,4.18
15561,Ideal,I,VS1,61.5,54.0,1130,5.15,5.19,3.18
15562,Very Good,D,VS1,63.5,57.0,1883,5.05,5.09,3.22
15563,Ideal,D,SI1,61.6,55.0,1014,4.79,4.79,2.95
15564,Ideal,E,VS2,62.5,55.0,1781,5.12,5.09,3.19
15565,,I,SI2,62.5,58.0,1580,5.65,5.71,3.55
15566,Premium,G,VVS1,,59.0,1046,4.39,,2.65
15567,Very Good,H,SI2,60.8,59.0,6072,7.07,7.1,4.31
15568,Premium,I,VS2,62.4,57.0,558,4.35,4.31,2.7
15569,,H,VVS2,63.3,56.0,803,4.32,4.3,2.73
15570,Premium,E,SI2,61.6,59.0,8063,7.29,7.22,4.47
15571,Ideal,F,SI1,62.5,55.0,921,4.68,4.63,2.91
15572,Premium,G,SI1,61.8,60.0,462,4.33,4.35,2.68
15573,Ideal,F,VS2,62.8,57.0,862,4.71,4.78,2.98
15574,Very Good,E,SI1,60.9,57.0,1357,5.17,5.21,3.16
15575,Premium,D,SI2,,60.0,4123,6.23,,3.83
15576,Ideal,H,VS2,62.8,58.0,6453,6.57,6.51,4.11
15577,Premium,G,SI1,62.1,58.0,593,4.36,4.34,2.7
15578,Ideal,J,SI2,64.0,55.0,14503,8.58,8.48,5.46
15579,Ideal,G,VS2,60.9,57.0,847,4.83,4.83,2.94
15580,Ideal,G,SI1,61.9,57.0,7415,7.03,7.02,4.35
15581,Premium,E,SI2,61.8,61.0,17178,8.12,8.05,5.0
15582,Premium,I,SI2,61.3,58.0,8744,7.64,7.57,4.66
15583,Good,F,VS2,63.5,56.0,626,4.28,4.32,2.73
15584,Very Good,D,SI2,59.2,63.0,3670,6.58,6.53,3.88
15585,Premium,G,SI2,60.1,59.0,16356,8.21,8.29,4.96
15586,Ideal,G,VS2,60.9,57.0,9590,6.96,6.99,4.25
15587,Good,D,VS2,61.7,61.0,652,4.41,4.44,2.73
15588,Very Good,E,SI2,62.3,62.0,9936,7.15,7.26,4.49
15589,Good,E,VVS1,58.0,60.0,526,4.1,4.11,2.38
15590,,H,VS2,61.2,60.0,8654,7.17,7.21,4.4
15591,Ideal,E,SI2,61.9,55.0,5991,6.72,6.76,4.17
15592,Very Good,G,VVS2,62.9,57.0,1838,5.04,5.11,3.19
15593,Very Good,F,VS2,60.4,63.0,1781,5.19,5.11,3.11
15594,Premium,E,VS2,60.4,58.0,844,4.34,4.3,2.61
15595,Ideal,H,VS1,61.2,55.0,3274,5.77,5.86,3.56
15596,Premium,H,SI2,61.1,59.0,4242,6.54,6.46,3.97
15597,Very Good,F,VVS2,63.2,52.0,683,4.38,4.39,2.77
15598,Very Good,E,VS1,61.1,58.0,7502,6.45,6.51,3.96
15599,Ideal,H,VS2,,57.0,5666,6.39,,3.98
15600,Premium,H,SI1,60.0,60.0,2498,6.04,5.99,3.61
15601,Premium,E,SI1,62.6,57.0,3609,6.17,6.14,3.85
15602,Very Good,J,VVS2,61.5,60.0,8712,7.28,7.3,4.48
15603,Very Good,F,VS2,62.2,56.0,2325,5.66,5.76,3.55
15604,Ideal,H,SI1,62.4,52.8,476,4.29,4.33,2.69
15605,,E,SI2,61.8,61.0,3801,6.35,6.28,3.9
15606,Very Good,H,VVS1,62.3,56.0,1193,4.77,4.79,2.98
15607,,J,SI1,63.0,56.0,3275,6.32,6.25,3.96
15608,Very Good,E,VVS1,59.7,58.0,575,4.12,4.15,2.47
15609,Ideal,H,VS2,62.4,54.0,491,4.32,4.34,2.7
15610,Ideal,G,IF,62.3,55.0,17568,7.53,7.62,4.72
15611,Ideal,F,VS2,60.4,55.0,1799,5.42,5.44,3.28
15612,Fair,J,VS1,64.5,58.0,2965,6.11,6.07,3.93
15613,,G,IF,61.8,56.0,985,4.57,4.59,2.83
15614,Premium,D,VS2,61.5,59.0,998,4.67,4.63,2.86
15615,,F,VS1,61.4,59.0,6692,6.44,6.42,3.95
15616,Good,F,VS2,63.7,55.0,13852,7.25,7.23,4.61
15617,Ideal,D,VVS1,62.0,56.0,1067,4.37,4.4,2.72
15618,Ideal,E,VS2,59.7,57.0,695,4.44,4.44,2.65
15619,,F,VS2,61.5,57.0,518,4.15,4.21,2.57
15620,Good,E,SI2,61.7,59.0,3744,6.11,6.2,3.8
15621,Very Good,E,SI1,,60.0,2730,5.63,,3.5
15622,Good,F,SI2,58.2,61.0,4140,6.46,6.54,3.78
15623,Premium,G,SI1,60.4,61.0,5151,6.5,6.47,3.92
15624,Ideal,G,VS2,59.6,57.0,1662,5.38,5.39,3.21
15625,Premium,F,SI2,58.4,60.0,9330,7.88,7.8,4.58
15626,Premium,D,VS2,61.9,58.0,1944,5.31,5.35,3.3
15627,Very Good,I,VS2,61.7,55.0,10130,7.4,7.32,4.54
15628,,I,VS2,61.7,55.0,452,4.37,4.41,2.71
15629,Very Good,E,VVS1,60.1,59.0,575,4.11,4.14,2.48
15630,Good,F,SI1,63.6,58.0,4158,6.29,6.35,4.02
15631,,D,SI2,62.7,57.0,6505,6.78,6.69,4.22
15632,Very Good,D,SI1,59.4,63.0,2628,5.77,5.77,3.43
15633,,H,SI1,62.1,62.0,10038,7.39,7.3,4.56
15634,Premium,D,VS2,59.4,59.0,687,4.55,4.58,2.71
15635,Ideal,G,VVS1,60.7,57.0,16169,7.45,7.5,4.54
15636,Ideal,F,VS2,61.3,56.0,8017,6.73,6.77,4.14
15637,Ideal,G,VS1,61.5,56.0,3572,5.79,5.82,3.57
15638,Ideal,H,VS2,60.5,57.0,5669,6.63,6.6,4.0
15639,Very Good,E,VVS2,59.6,59.0,1337,4.98,4.99,2.97
15640,Ideal,F,VVS1,61.9,54.7,1102,4.64,4.67,2.88
15641,Premium,G,VVS2,60.6,60.0,16068,7.51,7.58,4.57
15642,Premium,H,SI1,62.1,59.0,7931,7.69,7.64,4.76
15643,Premium,G,VS2,60.8,58.0,559,4.36,4.42,2.67
15644,Ideal,G,IF,,57.0,988,4.31,,2.7
15645,,I,VS1,63.3,56.0,521,4.36,4.39,2.77
15646,Fair,H,SI1,64.3,60.0,3180,6.12,6.07,3.92
15647,Good,E,SI2,,55.0,476,4.42,,2.83
15648,Ideal,E,VS2,62.2,56.0,3270,5.79,5.75,3.59
15649,Ideal,F,VS2,61.5,55.0,497,3.92,3.98,2.43
15650,Very Good,G,VS1,62.0,56.0,645,4.41,4.43,2.74
15651,Premium,G,VVS2,61.4,61.0,1182,4.96,4.87,3.02
15652,Ideal,F,SI1,63.1,57.0,13872,7.6,7.55,4.78
15653,Good,G,SI1,62.6,64.0,1286,4.98,4.93,3.1
15654,Premium,F,SI1,61.8,59.0,6888,6.86,6.83,4.23
15655,Premium,E,SI1,62.1,58.0,4255,6.18,6.15,3.83
15656,Ideal,E,SI1,62.5,56.0,2489,5.75,5.71,3.58
15657,Very Good,G,SI1,58.4,62.0,636,4.8,4.85,2.82
15658,Very Good,E,SI1,63.2,60.0,2524,5.66,5.7,3.59
15659,Ideal,G,SI1,62.2,55.0,463,4.35,4.37,2.71
15660,Ideal,F,IF,62.5,55.0,886,4.28,4.3,2.68
15661,Very Good,E,VVS1,60.1,62.0,763,4.38,4.41,2.64
15662,Premium,F,VS2,62.2,59.0,1437,5.07,5.09,3.16
15663,Good,E,VS2,63.1,57.0,693,4.59,4.63,2.91
15664,Very Good,G,VS1,63.4,58.0,775,4.26,4.23,2.69
15665,Premium,G,VVS2,62.7,59.0,7741,6.45,6.4,4.03
15666,Very Good,G,SI2,63.8,57.0,4498,6.29,6.34,4.03
15667,Premium,F,VVS1,61.0,59.0,1262,4.75,4.79,2.91
15668,,F,VS1,59.8,61.0,1103,4.88,4.85,2.91
15669,Very Good,I,VS2,61.7,54.1,1408,5.37,5.39,3.32
15670,,G,SI1,61.4,57.0,478,4.29,4.31,2.64
15671,Premium,J,SI2,,60.0,6047,7.35,,4.46
15672,Ideal,F,IF,62.0,57.0,1092,4.59,4.61,2.85
15673,Ideal,G,VS1,61.2,57.0,4389,5.96,5.97,3.65
15674,Ideal,E,VVS1,61.9,55.0,5056,5.88,5.84,3.63
15675,Ideal,E,VVS2,62.6,53.0,850,4.52,4.55,2.84
15676,Premium,E,VVS1,60.8,58.0,622,4.17,4.19,2.54
15677,Very Good,D,SI2,61.0,58.0,5923,6.81,6.89,4.18
15678,Very Good,G,VS2,59.9,58.0,2725,5.91,5.95,3.55
15679,Very Good,G,VVS1,63.3,59.0,7412,6.4,6.31,4.02
15680,Premium,G,VS2,61.1,58.0,15946,7.73,7.69,4.71
15681,,J,SI1,61.9,54.0,708,4.88,4.85,3.01
15682,Very Good,I,SI2,61.5,63.0,10010,8.18,7.95,4.96
15683,Premium,F,SI2,62.8,61.0,12813,7.79,7.74,4.88
15684,Ideal,H,VS1,63.0,54.0,17838,7.99,7.95,5.02
15685,Ideal,H,VS1,61.5,57.0,8275,6.82,6.86,4.21
15686,Ideal,D,VS2,59.0,57.0,942,4.47,4.44,2.63
15687,Very Good,F,SI1,61.2,61.0,1250,5.05,5.11,3.11
15688,Good,F,VS2,63.0,57.0,4404,6.11,6.17,3.87
15689,Ideal,I,IF,61.8,55.0,715,4.56,4.56,2.82
15690,Ideal,E,SI1,63.0,54.0,743,4.42,4.38,2.77
15691,Very Good,E,VS2,63.4,58.0,3517,5.76,5.82,3.67
15692,Very Good,E,SI2,62.4,58.0,3902,6.11,6.19,3.84
15693,Ideal,D,VVS2,61.3,56.0,1263,4.75,4.77,2.92
15694,Fair,I,VS2,56.1,60.0,3215,6.61,6.58,3.7
15695,Very Good,G,SI1,59.8,58.0,492,4.52,4.55,2.71
15696,Premium,E,SI2,60.5,62.0,345,3.77,3.74,2.27
15697,Very Good,E,VVS1,62.2,59.0,465,3.92,3.96,2.45
15698,,G,VS1,60.8,58.0,6628,6.48,6.55,3.96
15699,Premium,H,VVS2,62.4,58.0,645,4.34,4.34,2.71
15700,Ideal,F,VS1,61.0,55.0,2082,5.27,5.32,3.23
15701,Very Good,E,VS2,59.3,58.0,6612,6.51,6.57,3.88
15702,Premium,J,SI2,62.8,58.0,3634,6.48,6.41,4.05
15703,Premium,I,VS2,61.2,62.0,3338,6.19,6.14,3.77
15704,,H,VVS2,61.9,58.0,625,4.3,4.32,2.67
15705,Ideal,H,VVS2,61.6,55.8,653,4.36,4.38,2.69
15706,Premium,I,SI2,60.6,60.0,15055,8.32,8.25,5.02
15707,Ideal,F,VS2,62.6,54.0,573,4.29,4.3,2.69
15708,Ideal,G,VS2,62.3,55.0,9031,6.93,6.87,4.3
15709,Fair,F,I1,66.6,62.0,992,5.53,5.49,3.67
15710,,H,VS1,62.7,54.0,526,4.3,4.31,2.7
15711,Premium,E,VS2,60.7,60.0,14386,7.41,7.32,4.47
15712,Very Good,J,VS2,62.0,57.0,4793,6.82,6.86,4.24
15713,Ideal,H,SI1,62.8,56.0,15324,8.66,8.62,5.43
15714,Fair,J,I1,64.8,59.0,1067,5.59,5.49,3.59
15715,Ideal,G,SI1,60.3,60.0,2908,5.98,6.02,3.62
15716,Ideal,F,VVS2,62.3,55.0,525,3.99,4.03,2.5
15717,Ideal,G,SI2,59.6,57.0,4327,6.59,6.54,3.91
15718,Very Good,G,VVS2,59.3,56.0,858,4.7,4.75,2.8
15719,Ideal,D,VS2,61.4,57.0,2066,5.37,5.32,3.28
15720,Premium,H,SI2,62.2,59.0,4153,6.48,6.41,4.01
15721,Ideal,D,SI1,62.0,56.0,727,4.47,4.43,2.76
15722,Ideal,E,SI1,62.9,55.0,596,4.45,4.46,2.8
15723,Good,G,SI1,63.3,57.0,492,4.38,4.44,2.79
15724,Ideal,E,VS2,62.0,55.0,3304,5.74,5.74,3.56
15725,Ideal,E,VS2,62.1,56.0,7459,6.67,6.59,4.12
15726,Ideal,G,VS1,,53.9,1745,5.22,,3.24
15727,Premium,E,VS1,61.5,58.0,800,4.73,4.76,2.92
15728,Very Good,E,VS1,62.8,59.0,1908,5.18,5.24,3.27
15729,Very Good,F,VVS1,62.1,56.0,910,4.53,4.58,2.83
15730,Good,J,SI2,,58.0,335,4.33,,2.75
15731,Ideal,F,VS2,60.9,57.0,864,4.75,4.78,2.9
15732,Ideal,F,VVS2,61.5,56.0,2232,5.23,5.27,3.23
